inst_purp,cam_cnt,inst_ym,lon,lat
생활방범,5,201411,127.2273215,37.53671272
생활방범,4,201202,127.1996343,37.53450955
생활방범,4,201707,127.1611212,37.48815719
교통단속,1,201908,127.186116,37.549873
쓰레기단속,1,201701,127.1844,37.54942
생활방범,3,202204,127.2108113,37.55439901
생활방범,4,201707,127.1891734,37.56546357
교통단속,1,201412,127.194005,37.544993
생활방범,4,201310,127.1659712,37.51585275
교통단속,1,202305,127.20913,37.54186
생활방범,4,201506,127.1987337,37.54487845
쓰레기단속,1,201801,127.2036,37.57366
다목적,1,202210,127.1451,37.5054
생활방범,5,201704,127.2207422,37.54512652
생활방범,5,201806,127.1935864,37.56080213
생활방범,5,201908,127.1911474,37.55653811
다목적,1,202308,127.1752526,37.5428984
차량방범,3,200805,127.1939938,37.57749252
생활방범,4,201906,127.1737151,37.53824422
생활방범,5,201806,127.1911699,37.56027203
교통단속,1,201912,127.191382,37.549018
생활방범,3,202206,127.2126405,37.54205907
생활방범,6,202307,127.183232,37.56848
생활방범,5,201908,127.186997,37.566296
교통단속,1,202211,127.20664,37.55467
쓰레기단속,1,201701,127.1981,37.53157
생활방범,5,201409,127.2006995,37.51559279
생활방범,4,201401,127.2012278,37.55052835
생활방범,4,201411,127.1938294,37.52232703
생활방범,2,202206,127.1975778,37.53700666
생활방범,3,202105,127.1635805,37.51653567
생활방범,4,202007,127.1585067,37.53783626
생활방범,5,201806,127.2003555,37.56192602
생활방범,3,201905,127.2090319,37.5376104
쓰레기단속,1,201701,127.2064,37.53674
쓰레기단속,1,201701,127.2114,37.5372
쓰레기단속,1,201801,127.202,37.53771
생활방범,4,201012,127.1981435,37.54228286
생활방범,4,,127.1631953,37.50849914
생활방범,4,201707,127.1876226,37.57451938
생활방범,3,202005,127.1470175,37.51552415
차량방범,1,201005,127.1931024,37.5798598
생활방범,4,201202,127.199906,37.54009551
생활방범,5,201012,127.1684085,37.53236396
재난재해,1,,127.1799,37.5225
생활방범,1,201311,127.2060269,37.5374697
교통단속,1,201904,127.1887,37.55769
쓰레기단속,2,202001,127.1999,37.52257
생활방범,4,201311,127.2052731,37.52173798
생활방범,6,201606,127.2152504,37.53989277
생활방범,5,201806,127.2027751,37.556808
쓰레기단속,1,202112,127.2308892,37.4886273
생활방범,4,201506,127.2319488,37.50050607
생활방범,4,201906,127.1983881,37.53148475
생활방범,4,201412,127.233276,37.543961
교통단속,1,202201,127.172612,37.524911
생활방범,5,202007,127.1666106,37.53112953
재난재해,1,,127.1956,37.5091
생활방범,5,,127.1480132,37.50715652
생활방범,5,201806,127.1788435,37.57655746
생활방범,4,201411,127.1729041,37.53053205
생활방범,5,201806,127.1782683,37.57550898
교통단속,1,202011,127.15907,37.484777
생활방범,5,201411,127.2263279,37.53797679
생활방범,3,201111,127.2279326,37.51892981
쓰레기단속,2,201701,127.173,37.54442
쓰레기단속,1,202001,127.203225,37.538027
생활방범,4,201707,127.1926527,37.56150324
생활방범,4,201808,127.228485,37.51981939
생활방범,4,201808,127.1428717,37.51423108
생활방범,4,201808,127.2073711,37.56402408
생활방범,3,201606,127.1560405,37.53636643
생활방범,5,201806,127.1872643,37.57979906
생활방범,4,202309,127.2092656,37.55162797
교통단속,1,201806,127.190875,37.57663
교통단속,1,200911,127.21451,37.541369
쓰레기단속,1,201701,127.202,37.53498
교통단속,1,202403,127.20674,37.54194
생활방범,6,202105,127.2051528,37.53740399
생활방범,2,201412,127.2379572,37.54229986
생활방범,4,201707,127.1849001,37.57480992
교통단속,1,201806,127.19114,37.558404
생활방범,3,201311,127.2350731,37.49063127
생활방범,4,201409,127.1828146,37.54477434
생활방범,4,201808,127.1934959,37.53189431
생활방범,5,202007,127.2001413,37.53636431
생활방범,3,202105,127.174308,37.54129131
생활방범,3,,127.1486774,37.5050616
생활방범,4,201311,127.20176,37.53985972
생활방범,5,201202,127.2084432,37.53848448
생활방범,5,201612,127.196893,37.566138
생활방범,5,201806,127.1874231,37.55555769
생활방범,5,201806,127.202601,37.5581253
생활방범,6,201012,127.2072204,37.53892322
생활방범,4,201806,127.1767884,37.5769596
생활방범,3,201111,127.202856,37.53365393
생활방범,5,201908,127.1950065,37.56463611
생활방범,3,201012,127.2086856,37.53864621
생활방범,5,201808,127.2001889,37.55589523
생활방범,5,201908,127.194271,37.54427046
생활방범,5,201908,127.1950941,37.54452001
생활방범,3,,127.16144,37.50082255
생활방범,3,202105,127.1710732,37.53265908
다목적,10,202011,127.2405632,37.5420253
쓰레기단속,1,201701,127.202,37.53498
교통단속,1,202305,127.22047,37.54055
생활방범,4,201012,127.2127507,37.54271723
쓰레기단속,1,201801,127.1965,37.51339
생활방범,3,201111,127.2279326,37.5189298
재난재해,1,,127.2176,37.5448
생활방범,3,201012,127.2111683,37.54165073
생활방범,5,201612,127.184544,37.55963183
생활방범,5,201012,127.2009057,37.53980765
차량방범,4,201905,127.1825848,37.5590853
생활방범,4,201806,127.1905257,37.55514407
교통단속,1,201910,127.19628,37.56244
생활방범,4,201912,127.2207422,37.54512652
생활방범,4,202309,127.208609,37.550352
생활방범,4,201906,127.2041531,37.51685262
생활방범,5,201704,127.2207422,37.54512652
생활방범,5,201806,127.1981655,37.56398734
생활방범,3,201606,127.2143771,37.53787971
교통단속,1,202105,127.197951,37.555604
생활방범,3,201111,127.2211373,37.54073705
생활방범,3,201202,127.212708,37.54227699
쓰레기단속,2,201801,127.1712,37.53625
생활방범,5,202206,127.1975778,37.53700667
차량방범,3,201005,127.1855027,37.57991222
교통단속,1,201806,127.20168,37.56034
생활방범,5,201905,127.206384,37.53934008
생활방범,4,201506,127.2350731,37.49063127
생활방범,4,201311,127.1488597,37.51643063
다목적,1,202206,127.2309,37.5067
생활방범,6,201012,127.2072204,37.53892323
생활방범,4,,127.1537906,37.47586147
생활방범,3,201202,127.2255946,37.52770428
재난재해,1,,127.2339,37.5449
생활방범,6,201311,127.2091954,37.53711125
생활방범,4,202206,127.1980123,37.52663807
교통단속,1,202007,127.21446,37.55055
생활방범,5,,127.2077111,37.57385408
교통단속,1,201209,127.150696,37.474095
생활방범,3,201509,127.1866045,37.54679296
생활방범,3,201612,127.1479951,37.48198212
생활방범,4,201808,127.1934959,37.53189431
생활방범,3,202206,127.1620737,37.52019056
생활방범,6,201411,127.224278,37.53353181
생활방범,4,201806,127.2012306,37.55771166
쓰레기단속,1,201701,127.1987,37.53907
생활방범,4,202105,127.1711154,37.5386581
생활방범,4,201707,127.1891734,37.56546356
생활방범,4,202105,127.2286582,37.53640153
생활방범,4,201311,127.2229605,37.52548479
생활방범,3,,127.1929877,37.56286027
시설물관리,8,202011,127.2359314,37.53862527
생활방범,5,201806,127.1841091,37.57884148
생활방범,4,201012,127.2009021,37.53441519
쓰레기단속,1,201701,127.204,37.54018
생활방범,4,201111,127.2045767,37.54376546
교통단속,1,202007,127.193645,37.57338
교통단속,1,201901,127.185164,37.575398
생활방범,5,201806,127.1872643,37.57979906
생활방범,5,202206,127.2066657,37.53820907
생활방범,5,201704,127.2207422,37.54512652
생활방범,5,202206,127.2207422,37.54512652
생활방범,5,201707,127.180938,37.57513928
생활방범,4,201808,127.173024,37.54504049
쓰레기단속,1,201701,127.1715,37.54506
생활방범,6,201111,127.2035775,37.54139983
생활방범,3,201908,127.1942267,37.54426538
교통단속,1,201904,127.20008,37.54398
시설물관리,27,,127.1483055,37.482192
생활방범,6,201012,127.2063237,37.53597214
생활방범,5,201704,127.2099226,37.54554315
재난재해,1,,127.219,37.5483
쓰레기단속,2,201801,127.2308,37.50214
생활방범,4,202206,127.212782,37.53711422
재난재해,1,,127.1737,37.5279
생활방범,4,201808,127.2051562,37.5550201
차량방범,2,200805,127.1609753,37.51436904
생활방범,5,201908,127.184632,37.569234
생활방범,3,201606,127.1831676,37.53399532
생활방범,5,201908,127.1921537,37.54499098
생활방범,3,201111,127.1994066,37.54081562
생활방범,5,202005,127.1971711,37.51328397
생활방범,4,201906,127.1989658,37.52542517
교통단속,1,200911,127.19071,37.56734
생활방범,5,202304,127.2152,37.5573
생활방범,3,202206,127.1841091,37.57884148
생활방범,4,201401,127.2029536,37.53775429
교통단속,1,201910,127.195897,37.56967
쓰레기단속,2,201701,127.2005,37.53433
생활방범,3,201012,127.2111684,37.54165074
생활방범,4,201606,127.2280461,37.51115559
생활방범,4,201707,127.219625,37.542486
생활방범,3,201409,127.1929969,37.5054811
생활방범,4,201707,127.1611212,37.48815718
생활방범,4,202206,127.207271,37.53603384
생활방범,3,201012,127.2300984,37.50251683
쓰레기단속,1,201701,127.2008,37.5419
생활방범,4,,127.2232373,37.54151584
생활방범,5,201311,127.2100039,37.53878755
생활방범,5,202206,127.1975778,37.53700666
교통단속,1,200506,127.214626,37.535316
생활방범,4,201908,127.186691,37.562453
생활방범,5,201710,127.1839749,37.53422725
생활방범,3,,127.1647306,37.51147331
생활방범,4,201704,127.2125614,37.54325242
생활방범,2,201606,127.2174805,37.53830607
생활방범,3,201606,127.1639653,37.51620474
생활방범,5,201906,127.20176,37.53985972
생활방범,5,,127.1531013,37.50809129
생활방범,4,201707,127.2023414,37.51280132
생활방범,5,201908,127.1891024,37.57543965
생활방범,4,201506,127.2204696,37.54300851
생활방범,5,201908,127.1923313,37.54665082
생활방범,3,201202,127.22378,37.51701808
생활방범,5,201806,127.1846333,37.5659939
생활방범,4,201311,127.2039442,37.54091563
쓰레기단속,2,202101,127.1488,37.51856
재난재해,1,,127.217,37.5371
생활방범,5,202007,127.2142251,37.53685321
교통단속,1,200505,127.204476,37.538134
생활방범,5,201908,127.1923313,37.54665082
쓰레기단속,1,202112,127.1909493,37.50082499
생활방범,4,201202,127.2019123,37.55296781
생활방범,4,202206,127.2098974,37.53937729
생활방범,7,201111,127.2282446,37.53907265
쓰레기단속,2,201701,127.173,37.54442
생활방범,4,201409,127.218263,37.54228379
생활방범,3,201811,127.1689272,37.52834116
생활방범,5,201409,127.1925433,37.50404252
생활방범,3,202206,127.1620737,37.52019057
생활방범,4,202206,127.2107436,37.54814512
생활방범,5,202005,127.199153,37.53551679
생활방범,3,201202,127.2245373,37.53973058
생활방범,4,202307,127.18877,37.572144
생활방범,4,201806,127.1830132,37.55563081
생활방범,3,201707,127.1931369,37.56930537
쓰레기단속,1,201801,127.202,37.57141
생활방범,5,202206,127.2082986,37.54031311
생활방범,4,202307,127.183567,37.568941
생활방범,4,202206,127.1977258,37.53886805
생활방범,5,201612,127.1482712,37.4785918
재난재해,1,,127.2263,37.5104
생활방범,4,201709,127.1474513,37.47803669
재난재해,1,,127.1896,37.5623
생활방범,4,201808,127.1916204,37.58152072
생활방범,3,201202,127.2115113,37.53890805
생활방범,4,201012,127.1997267,37.53711054
생활방범,4,201808,127.1605913,37.51673473
생활방범,4,201506,127.2001728,37.54381704
생활방범,5,201409,127.1992393,37.53242123
생활방범,4,201606,127.1869822,37.54210357
재난재해,1,,127.2160702,37.5452292
생활방범,3,202206,127.2183388,37.48733583
생활방범,4,201111,127.1969321,37.51853011
생활방범,5,202304,127.2136,37.5191
생활방범,5,202307,127.2101533,37.54943917
생활방범,5,201906,127.2211482,37.5227428
생활방범,4,202206,127.1943994,37.55668532
생활방범,5,201411,127.2273215,37.53671271
생활방범,3,201111,127.2124425,37.55023201
쓰레기단속,1,201701,127.2076,37.53787
차량방범,3,200805,127.1939938,37.57749252
생활방범,5,,127.1587413,37.51955448
재난재해,1,,127.2369,37.5425
생활방범,4,,127.1702009,37.53727387
생활방범,3,201612,127.1493546,37.47757824
쓰레기단속,1,202112,127.1549574,37.52526661
쓰레기단속,1,201701,127.2001,37.53968
생활방범,5,201707,127.1869808,37.55659032
쓰레기단속,1,201701,127.2083,37.53815
생활방범,4,,127.1891093,37.55647048
생활방범,3,201311,127.2161658,37.54991157
생활방범,4,201906,127.1945873,37.52121335
생활방범,4,201706,127.1963195,37.53534615
생활방범,4,201706,127.2234445,37.53975914
생활방범,5,201606,127.1976911,37.52246296
쓰레기단속,1,201701,127.2103,37.53572
생활방범,4,201606,127.2113723,37.55074586
생활방범,4,202206,127.212782,37.53711422
생활방범,5,201806,127.1918674,37.55681417
생활방범,4,,127.1999626,37.58080558
재난재해,1,,127.1752526,37.5428984
생활방범,4,201311,127.2209187,37.54250856
재난재해,1,,127.1975,37.569
교통단속,1,202105,127.166914,37.529116
생활방범,3,201606,127.1980111,37.5283387
생활방범,2,201606,127.2174805,37.53830606
생활방범,4,202206,127.189885,37.49724464
생활방범,4,202206,127.2098974,37.53937729
생활방범,4,,127.1598711,37.50794112
생활방범,4,201806,127.2012306,37.55771165
생활방범,4,201311,127.2052265,37.53867623
쓰레기단속,1,201701,127.2012,37.53924
다목적,1,202206,127.1539,37.5202
쓰레기단속,1,201701,127.2007,37.54749
생활방범,3,202206,127.1861361,37.56891356
생활방범,3,201811,127.1689272,37.52834116
생활방범,4,201707,127.1917547,37.57560758
생활방범,3,201012,127.2372183,37.54132128
차량방범,7,202005,127.1840667,37.54948009
생활방범,5,201707,127.1888984,37.55990442
쓰레기단속,1,201701,127.225212,37.519515
생활방범,3,201707,127.1863913,37.56811428
생활방범,4,201311,127.2174039,37.53970363
쓰레기단속,1,202206,127.205089,37.534752
차량방범,3,201505,127.180938,37.57513928
생활방범,5,202206,127.2035535,37.55193365
차량방범,4,201905,127.1825318,37.55940169
생활방범,3,201706,127.224278,37.53353182
생활방범,5,202309,127.2207673,37.54144053
생활방범,5,202105,127.1931024,37.5798598
쓰레기단속,1,201701,127.1582,37.51818
생활방범,5,201710,127.1839749,37.53422724
생활방범,4,202106,127.1941904,37.53882592
쓰레기단속,1,201701,127.2013,37.53814
생활방범,6,201707,127.1913389,37.56775033
생활방범,4,,127.1555671,37.51975984
생활방범,4,201111,127.1719242,37.54491619
생활방범,3,201811,127.1689272,37.52834116
생활방범,4,201704,127.2213179,37.54448924
교통단속,1,201412,127.193056,37.54986
생활방범,5,201908,127.191688,37.550134
생활방범,4,201202,127.2307779,37.50654903
교통단속,1,201310,127.191775,37.56109
생활방범,3,201111,127.2125614,37.54325242
생활방범,4,201311,127.2064084,37.53739837
재난재해,1,,127.2038,37.5342
생활방범,5,201908,127.192535,37.56326851
생활방범,4,201311,127.2075658,37.53995088
생활방범,5,201806,127.1905257,37.55514407
생활방범,5,201506,127.2237768,37.51944535
교통단속,1,201310,127.148959,37.477672
생활방범,3,201311,127.1989898,37.55152715
생활방범,3,201111,127.202856,37.53365393
생활방범,5,201612,127.152008,37.47537081
생활방범,4,201806,127.1949719,37.57137618
생활방범,4,201808,127.2030223,37.54466998
생활방범,2,201612,127.184633,37.559637
재난재해,1,,127.2038,37.5342
교통단속,1,200911,127.190545,37.562613
생활방범,4,201704,127.223252,37.54368198
생활방범,3,201811,127.172209,37.5246239
생활방범,3,202307,127.2047144,37.54653365
쓰레기단속,1,201701,127.1832,37.53942
생활방범,3,201704,127.2207422,37.54512652
쓰레기단속,1,202112,127.1743912,37.53028472
생활방범,4,202309,127.2051459,37.55714268
생활방범,3,201411,127.2328273,37.53849313
생활방범,3,201908,127.194271,37.54427046
생활방범,4,201111,127.1719241,37.54491618
재난재해,1,,127.197,37.5111
생활방범,5,201806,127.1968523,37.55883079
생활방범,4,201806,127.1924926,37.56037367
교통단속,1,201910,127.21245,37.53973
생활방범,3,202307,127.190325,37.578609
생활방범,3,202307,127.176309,37.577455
생활방범,3,202307,127.180888,37.578379
쓰레기단속,1,202112,127.2094501,37.56215129
재난재해,1,,127.2501,37.5385
교통단속,1,202011,127.18974,37.54868
생활방범,3,202105,127.1712991,37.53642625
생활방범,4,202311,127.1941904,37.53882592
생활방범,4,201612,127.189568,37.550523
교통단속,1,201506,127.186926,37.554863
생활방범,4,202206,127.1807342,37.57676686
생활방범,4,202105,127.2714562,37.52673277
생활방범,4,201906,127.2322353,37.5445204
재난재해,1,,127.1832,37.5684
교통단속,1,200607,127.188725,37.566859
생활방범,4,202206,127.2072709,37.53603384
쓰레기단속,1,201701,127.1616,37.48963
생활방범,4,201704,127.2100186,37.54435353
생활방범,3,201311,127.1973979,37.53437496
쓰레기단속,1,201701,127.2007,37.54749
쓰레기단속,1,201701,127.227572,37.511326
생활방범,5,201908,127.1839292,37.5520477
생활방범,5,201806,127.1968524,37.5588308
생활방범,4,201606,127.212074,37.5385772
생활방범,5,201806,127.1915726,37.57866668
생활방범,5,201811,127.1731142,37.5267805
생활방범,3,201906,127.2075386,37.51880172
생활방범,4,201311,127.203945,37.575718
쓰레기단속,1,201701,127.1994,37.54006
생활방범,4,201609,127.214001,37.54648415
생활방범,4,202206,127.1891093,37.55647047
생활방범,5,201908,127.1891093,37.55647048
쓰레기단속,2,201701,127.2006,37.53932
생활방범,4,,127.1860328,37.54650077
시설물관리,1,202206,127.1732,37.5288
생활방범,5,201806,127.2029141,37.55710397
생활방범,4,201401,127.22083,37.53761619
생활방범,5,,127.1825943,37.56277359
생활방범,5,202304,127.2139,37.5587
생활방범,4,202309,127.1749892,37.53492891
쓰레기단속,1,202306,127.204562,37.541983
생활방범,4,201606,127.2012435,37.5564844
생활방범,7,201806,127.1965452,37.55539989
생활방범,3,201606,127.2200269,37.5392259
생활방범,3,,127.1846833,37.5631526
교통단속,1,202201,127.18786,37.55627
교통단속,1,202305,127.16565,37.5297
교통단속,1,201105,127.184906,37.553493
생활방범,6,201606,127.2129662,37.54115329
생활방범,4,201706,127.1468781,37.51303311
생활방범,3,201311,127.171449,37.51501442
생활방범,5,202007,127.1594597,37.51981875
교통단속,1,202011,127.15528,37.50742
생활방범,4,202206,127.2192217,37.54200183
쓰레기단속,1,201701,127.197,37.51264
쓰레기단속,2,201901,127.1956,37.50807
생활방범,2,201608,127.2001889,37.55589523
생활방범,3,202105,127.1509907,37.51978684
쓰레기단속,1,201701,127.2057,37.5663
생활방범,4,201202,127.2010187,37.57045427
생활방범,4,201707,127.2198571,37.54235042
교통단속,1,202004,127.187824,37.573296
생활방범,7,201202,127.2067308,37.53841824
쓰레기단속,2,201701,127.1876,37.54097
교통단속,1,202105,127.182277,37.572865
생활방범,3,202206,127.1770432,37.54145409
재난재해,1,,127.1832,37.5684
생활방범,4,201808,127.2019123,37.55296781
생활방범,4,201906,127.2322353,37.54452041
생활방범,4,201508,127.1743874,37.544089
쓰레기단속,1,201701,127.1626,37.4925
생활방범,3,201606,127.2143771,37.53787971
생활방범,4,201506,127.2120386,37.52918599
생활방범,5,201806,127.2029141,37.55710397
쓰레기단속,1,201701,127.2039,37.53918
생활방범,5,201401,127.2086221,37.54865366
생활방범,4,,127.207597,37.54150883
재난재해,1,,127.229,37.539
쓰레기단속,1,202112,127.1607612,37.54159389
생활방범,5,202105,127.1873376,37.54970928
쓰레기단속,1,201701,127.207563,37.540545
생활방범,5,201806,127.1936121,37.56101174
생활방범,5,,127.1843047,37.55623902
쓰레기단속,1,201701,127.2292,37.50234
재난재해,1,,127.2198,37.531
생활방범,4,201311,127.2275322,37.52420259
생활방범,4,201704,127.2131206,37.54396
생활방범,4,201808,127.161176,37.48989651
생활방범,5,,127.1570496,37.50686761
생활방범,4,201111,127.2017378,37.54219794
생활방범,5,202304,127.2128376,37.56000296
생활방범,3,201401,127.1955107,37.5356058
쓰레기단속,1,201701,127.232323,37.495955
생활방범,4,202206,127.1807342,37.57676685
생활방범,5,201704,127.2077546,37.54367102
생활방범,3,202206,127.1992323,37.53867541
생활방범,4,201111,127.2011394,37.5371804
생활방범,4,201202,127.202171,37.53341922
교통단속,1,202305,127.156379,37.484515
쓰레기단속,1,201801,127.1973,37.54304
생활방범,5,202105,127.2192217,37.54200184
교통단속,1,201910,127.19864,37.56315
차량방범,2,201005,127.2208689,37.52641002
생활방범,3,201111,127.2125614,37.54325241
생활방범,5,201012,127.2105601,37.53906292
생활방범,2,201412,127.2379572,37.54229985
생활방범,4,201111,127.1704769,37.5385405
생활방범,4,202307,127.1825943,37.56277359
교통단속,1,201910,127.181657,37.555552
생활방범,3,201612,127.1554303,37.47549459
생활방범,5,202007,127.2142251,37.5368532
생활방범,5,,127.1514386,37.50470556
생활방범,3,201612,127.1480099,37.48198168
생활방범,3,202206,127.1957133,37.51878302
생활방범,3,202206,127.1910048,37.56393024
재난재해,1,,127.2339,37.5449
생활방범,5,201707,127.1916134,37.57207684
생활방범,3,202005,127.1491781,37.51912509
생활방범,6,201411,127.224278,37.53353182
생활방범,6,201311,127.2131104,37.54145961
교통단속,1,200506,127.219425,37.543534
생활방범,4,201710,127.2116454,37.54696508
생활방범,6,201706,127.2090023,37.5359372
생활방범,5,201409,127.2006995,37.51559279
생활방범,4,201806,127.1924926,37.56037367
쓰레기단속,1,201701,127.1552,37.51271
생활방범,5,201506,127.2237768,37.51944536
생활방범,4,201111,127.2197306,37.54310854
교통단속,1,202406,127.20544,37.55517
생활방범,4,,127.1547368,37.50952909
쓰레기단속,1,202206,127.169412,37.537721
시설물관리,11,202011,127.2359314,37.53862527
생활방범,5,201908,127.190703,37.557376
생활방범,4,201704,127.2263719,37.54478731
생활방범,3,202206,127.1910048,37.56393024
생활방범,3,201111,127.2021517,37.53396751
생활방범,5,201806,127.1884905,37.57784853
생활방범,3,201401,127.1955107,37.53560581
생활방범,4,202206,127.1975778,37.53700666
교통단속,1,202105,127.187824,37.573296
생활방범,4,201606,127.1709659,37.53425764
생활방범,4,202105,127.2132296,37.55362591
생활방범,4,201707,127.1813329,37.56653464
생활방범,3,202307,127.178796,37.576239
생활방범,5,202309,127.204861,37.553657
쓰레기단속,1,201701,127.2007,37.53536
쓰레기단속,2,202001,127.1985,37.54182
재난재해,1,,127.2369,37.5425
생활방범,4,201806,127.1981655,37.56398733
교통단속,1,201912,127.223897,37.522555
생활방범,3,201606,127.1977407,37.54000584
생활방범,3,201806,127.1943994,37.55668532
차량방범,3,201805,127.1650117,37.52931669
쓰레기단속,1,201701,127.1981,37.53157
생활방범,5,201612,127.190272,37.56178
생활방범,5,201707,127.1932764,37.57091724
생활방범,3,201406,127.182855,37.5474266
쓰레기단속,1,201701,127.207563,37.540545
