bis_id,stn_nm,lon,lat
GGB233002622,청원3리입구,126.7563333,37.1809
GGB233002623,하저리마을회관,126.8713333,37.1896833
GGB233002624,공청2,126.945,37.2278667
GGB233002625,조암농협,126.8174667,37.082
GGB233002626,율암1리,126.8872833,37.1547
GGB233002627,금당1리.소곡,126.7423167,37.1896
GGB233002628,청원3리입구,126.7560833,37.1801833
GGB233002629,용두리,126.7118,37.1488833
GGB233002630,어은1리,126.8342833,37.0955667
GGB233002631,향남제약공단입구,126.9061667,37.0966167
GGB233001499,향남교회,126.9473333,37.1233833
GGB233001500,향남교회,126.9473833,37.12335
GGB233001501,한각1리,126.7975667,37.0955833
GGB233001502,멱우3리,126.8081333,37.0933667
GGB233001503,남양아이파크,126.8337333,37.20625
GGB233001504,포스코2차.신미주아파트,127.0904,37.1894167
GGB233001505,동탄2LH4단지,127.1227833,37.2055833
GGB233001506,포레너스아파트,127.1161833,37.2051667
GGB233001507,원안2리,126.7863833,37.1004333
GGB233001508,고주리마을회관,126.88515,37.1274167
GGB233001509,고주리마을회관,126.8851167,37.1273333
GGB233001510,고주리,126.8838333,37.1288333
GGB233001511,고주리,126.88375,37.1288667
GGB233001512,고주리진입로,126.8924,37.1217333
GGB233001513,석포삼거리,126.8409333,37.1345333
GGB233001514,석포1리입구,126.8412,37.1344667
GGB233001515,석포1리.한절,126.8258667,37.1428333
GGB233001516,석포1리.돌서지,126.83135,37.1430333
GGB233001517,석포6리입구,126.8181167,37.1392833
GGB233001518,석포6리,126.8222,37.1366667
GGB233001519,석포교회,126.8240333,37.1347333
GGB233001520,석포6리입구,126.83325,37.1339667
GGB233001521,주곡1리마을회관,126.8170667,37.1258833
GGB233001522,주곡2리입구,126.80385,37.1103833
GGB233001523,고주리.동방산업단지,126.88795,37.1363667
GGB233001524,덕천리삼거리,126.87115,37.1426
GGB233001525,덕우리.구운말,126.8630167,37.1386667
GGB233001526,팔탄전자앞,126.86115,37.1293667
GGB233001527,화성제일병원,126.86015,37.1278333
GGB233001528,덕우리입구,126.8594833,37.1256
GGB233001529,상신8리,126.9011167,37.10395
GGB233001530,화성상신도시숲,126.9014667,37.10125
GGB233001531,제약공단후문.구문천1리입구,126.9103667,37.0902
GGB233001532,에코센터입구,126.9387167,37.1501333
GGB233001533,발안산업단지,126.8998667,37.0864
GGB233001534,발안산업단지,126.8998833,37.0861667
GGB233001535,구문천1리진입로,126.8998,37.0809667
GGB233001536,구문천1리진입로,126.8996667,37.0808167
GGB233001537,구문천삼거리,126.8959833,37.07605
GGB233001538,구문천삼거리,126.89605,37.076
GGB233001539,구문천리초록마을,126.8926333,37.0715
GGB233001540,구문천리초록마을,126.8928333,37.0714833
GGB233001541,구문천3리,126.8910333,37.07
GGB233001542,서해스카이팰리스1단지.서영더엘3차,127.03175,37.2036667
GGB233001543,유포2리,126.8437,37.2596833
GGB233001546,용수리,127.0000167,37.1688167
GGB233001547,상신하길로주택,126.9027,37.1061667
GGB233001548,상신하길로주택,126.9028667,37.1059667
GGB233001549,대양초등학교,126.8209667,37.19895
GGB233001550,고주리입구.한국폴리텍대학,126.8925,37.1218
GGB233001551,방교동일반산업단지,127.0892167,37.17265
GGB233001552,저수지앞,126.80255,37.0943333
GGB233001553,화수사거리,126.8016167,37.10985
GGB233001554,화산삼거리,126.7931833,37.063
GGB233001555,한국폴리텍대학,126.8927167,37.1219
GGB233001556,병점행복주택,127.0306167,37.2030333
GGB233001557,구장리새터말입구,126.8992,37.1535167
GGB233001558,장짐교차로,126.91095,37.1359167
GGB233001559,반월리,127.0649167,37.2335667
GGB233001561,광평리,126.69745,37.1729833
GGB233001562,한빛마을(중),127.06905,37.2076667
GGB233001563,경신,126.8131167,37.11525
GGB233001564,제암리입구,126.8885667,37.1268333
GGB233001565,발안사거리.평리,126.9105333,37.1317167
GGB233001566,조암조원마을,126.8157833,37.0850833
GGB233001567,에일린의뜰아파트,127.0860333,37.1901167
GGB233001568,베라체아파트,127.12285,37.1905
GGB233001569,경신,126.8133,37.1152667
GGB233001570,제암리입구,126.8886667,37.12685
GGB233001571,고주리.동방산업단지,126.88765,37.1359333
GGB233001572,서희스타힐스.단독주택,127.1195667,37.1732333
GGB233001573,반월2통,127.0599833,37.2211833
GGB233001574,수영리검사소,126.9684667,37.2324833
GGB233001575,백1리,126.9578667,37.16645
GGB233001576,문학1리,126.9637333,37.1528667
GGB233001578,덕신상가,126.9823167,37.1592167
GGB233001579,덕신상가,126.98215,37.1591667
GGB233001580,문학리,126.9661,37.15525
GGB233002632,수촌1리,126.8571667,37.1029
GGB233002633,정미소앞,126.8595167,37.1591667
GGB233002634,바이오단지입구,126.7739,37.1721
GGB233002635,요당2리,126.9146833,37.0658333
GGB233002636,고정2리.고잔,126.7461167,37.2481333
GGB233002638,신동아파밀리에,126.95635,37.2204333
GGB233002639,향남부영11단지,126.9163,37.1088333
GGB233002641,율암1리,126.88755,37.1549
GGB233002642,노하3리,126.8546833,37.1587333
GGB233002643,노하3리.백미정,126.8517667,37.1569
GGB233002644,율암3리.밤듸,126.8763333,37.1719333
GGB233002645,청원산단로,126.7792833,37.1737167
GGB233002646,야목역,126.88445,37.2617333
GGB233002647,메타폴리스(시외.공항버스),127.06705,37.2025167
GGB233002648,사곳리.개내기,126.7177333,37.15265
GGB233002649,대창그린아파트,127.0388333,37.2056167
GGB233002650,석포6리입구,126.8181667,37.1395
GGB233002651,사창2리.요골,126.9712333,37.1074167
GGB233002652,하늘가장례식장,126.9431833,37.1328333
GGB233002653,나루고등학교,127.0729,37.1868667
GGB233002655,홍법리,126.7301667,37.16135
GGB233002656,홍법리,126.7300667,37.1613
GGB233002657,중흥더센트럴.봉담2LH3단지,126.9505667,37.2251667
GGB233002658,각골,126.7242333,37.1643333
GGB233002659,다은마을(시외.공항버스),127.0679333,37.1991833
GGB233002660,봉담도서관.봉담읍행정복지센터,126.9493667,37.2195333
GGB233002661,요당3리,126.9134333,37.0714167
GGB233002662,마을안삼거리,126.90935,37.0753833
GGB233002663,각골,126.7242167,37.1642333
GGB233002664,창덕1통.잡재기,126.80045,37.1684667
GGB233002666,발안천교,126.90465,37.1321833
GGB233002667,신영통현대아파트1단지,127.0607333,37.2338
GGB233002668,신영통현대아파트1단지,127.06095,37.2338
GGB233002669,반월동행정복지센터,127.0607167,37.2327667
GGB233002670,복지회관,127.06095,37.2327833
GGB233002671,화담중학교,126.9420667,37.2316833
GGB233002672,현대타운4단지정문,127.06255,37.23295
GGB233002673,동탄복합문화센터,127.0740833,37.2003667
GGB233002674,화성미디어센터,127.0739333,37.20275
GGB233002676,주공11단지후문,127.0436667,37.2164167
GGB233002677,월드메르디앙,127.0356167,37.215
GGB233002678,월드메르디앙,127.03575,37.2151667
GGB233002679,화남아파트,127.0373833,37.2130167
GGB233002680,SK뷰파크3차,127.0508667,37.2216333
GGB233002681,라마다호텔(공항버스),127.0751833,37.2057167
GGB233002682,SK뷰파크3차,127.0515333,37.2212667
GGB233002683,농업기술센터,126.8723167,37.0770667
GGB233002684,야목역,126.8841833,37.262
GGB233002685,봉담초사거리,126.9482667,37.2243667
GGB233002686,주공1단지,127.0403167,37.2064
GGB233002687,주공1단지,127.0403333,37.20625
GGB233002688,대창그린아파트,127.0388667,37.2057667
GGB233002689,화성보건소,127.03485,37.2047
GGB233002690,성호아파트후문,127.0448833,37.2004167
GGB233002691,발안천교,126.9047833,37.1320333
GGB233002692,화성고교차로,126.9063667,37.137
GGB233002693,화성고교차로,126.9060833,37.1370833
GGB233002694,발안1리경로당,126.90635,37.1311333
GGB233002695,발안1리경로당,126.9062333,37.1310333
GGB233002696,상두1리.뒷말,126.9521,37.10985
GGB233002697,상두1리.뒷말,126.9520333,37.11
GGB233002698,도이2리마을입구,126.9412167,37.13905
GGB233002699,문호1리.당너머마을,126.8070667,37.2647667
GGB233002700,문호2리입구,126.7987667,37.2485167
GGB233002701,송림2리.잔다리,126.8143667,37.2197167
GGB233002702,원천리입구,126.8157,37.2144333
GGB233002703,원천리입구,126.8157833,37.2142667
GGB233002704,남양도서관.동광뷰엘,126.8256,37.21055
GGB233002705,남양도서관.동광뷰엘,126.8256333,37.2109
GGB233002706,현대아이파크,126.8318,37.2063167
GGB233002707,우림필유,126.8314,37.2081667
GGB233002708,화성의과학대학교,126.8396167,37.2032667
GGB233002709,대광2차아파트,126.8185667,37.19735
GGB233002710,동화휴먼시아1단지.새말입구,126.9584167,37.21875
GGB233002711,동철전자,126.9845,37.2307833
GGB233002713,기안말앞,126.9881167,37.2295
GGB233002714,기안말앞,126.9882333,37.2293333
GGB233002715,기안교차로,126.98695,37.2272
GGB233002716,기안1통입구,126.9859167,37.2257
GGB233002717,배양2리,126.9920667,37.2268333
GGB233002718,신미주아파트후문,126.9851333,37.22275
GGB233002719,신미주아파트후문,126.9853667,37.22265
GGB233002720,신미주아파트남문.예일유치원,126.9874,37.2200333
GGB233002721,신미주아파트남문.예일유치원,126.9870667,37.2203833
GGB233002722,신미주아파트,126.9893,37.2199833
GGB233002723,배양초등학교,126.9877667,37.21885
GGB233002724,배양초등학교,126.9879167,37.2187167
GGB233002725,기배동행정복지센터,126.9832,37.2241667
GGB233002726,기배동행정복지센터,126.98315,37.224
GGB233002727,보보스프라자,126.97455,37.2225333
GGB233002728,보보스프라자,126.9743833,37.22225
GGB233002729,기안중학교,126.9767333,37.2245667
GGB233002730,기안중학교,126.9765667,37.2246833
GGB233002731,기안성당,126.97815,37.2242667
GGB233002732,기안성당,126.9783,37.2243
GGB233002733,신일해피트리후문,126.9789833,37.22265
GGB233002734,신일해피트리후문,126.97905,37.22255
GGB233002735,기안2통.우방메가시티아파트,126.9780333,37.22095
GGB233002736,기안2통.우방메가시티아파트,126.9781333,37.2208333
GGB233002737,와우사거리,126.9733333,37.2190167
GGB233002738,와우사거리,126.9735167,37.2189167
GGB233002739,동보아파트,126.9717667,37.2121667
GGB233002740,동보아파트,126.9718833,37.2120333
GGB233002741,쌍용아파트,126.9698333,37.2121
GGB233002742,쌍용아파트,126.9705333,37.21185
GGB233002743,봉담푸르지오.아이파크,126.9691833,37.21305
GGB233002744,봉담푸르지오.아이파크,126.9694,37.2135667
GGB233002745,임광3차정문,126.9701667,37.216
GGB233002746,임광3차정문,126.9705667,37.2163
GGB233002747,임광3차중문,126.9720333,37.2162833
GGB233002748,임광3차중문,126.9720833,37.21635
GGB233002749,임광1.2단지,126.9737,37.21485
GGB233002750,임광1.2단지,126.9738167,37.2148
GGB233002751,임광1.2차아파트,126.97445,37.2148333
GGB233002752,임광1.2차아파트,126.9743167,37.2148
GGB233002753,신명아파트앞,126.9739,37.2131167
GGB233002754,영풍아파트입구,126.9741167,37.21305
GGB233002755,호수마을,126.9764,37.1980833
GGB233002756,우방아파트입구,127.0070833,37.2016167
GGB233002757,장안대후문,126.9463,37.21635
GGB233002759,쌍용아파트,126.952,37.2417667
GGB233002760,송라2리마을회관,126.90715,37.2844167
GGB233002761,야목1리,126.8972833,37.2549333
GGB233002762,야목4리마을회관,126.8680833,37.2690333
GGB233002763,야목4리마을회관,126.8681833,37.2690667
GGB233002764,야목4리.빈정,126.8664,37.2686333
GGB233002765,기천편의점,126.9019333,37.1720167
GGB233002766,기천편의점,126.90215,37.1719667
GGB233002767,기천1리입구,126.9074667,37.17715
GGB233002768,전원마을,126.9072167,37.1839833
GGB233002769,기천3리,126.9084167,37.1886167
GGB233002770,율암드림마트앞,126.8759667,37.1638
GGB233002771,율암드림마트앞,126.8760333,37.1637167
GGB233002772,대방초교,126.8694,37.1622167
GGB233002773,대방초교,126.86945,37.1621333
GGB233002774,명인제약,126.8667833,37.1599833
GGB233002775,명인제약,126.8668833,37.16
GGB233002776,율암온천,126.8807,37.1532667
GGB233002777,율암온천,126.8806,37.1530167
GGB233002778,굴다리입구,126.87785,37.15205
GGB233002779,굴다리입구,126.8778667,37.15195
GGB233002780,덕천리.화성온천,126.8720833,37.1458667
GGB233002781,덕천리.화성온천,126.8721833,37.1460833
GGB233002782,덕천리,126.8718833,37.1441833
GGB233002783,덕천리,126.8720167,37.1441833
GGB233002784,지월리,126.8903667,37.1453
GGB233002785,덕우리.구운말,126.86315,37.1386167
GGB233002786,안덕우리,126.86335,37.1367
GGB233002787,팔탄전자앞,126.8613167,37.1294167
GGB233002788,화성제일병원,126.8602167,37.12775
GGB233002789,도이2리마을입구,126.9411,37.1389333
GGB233002790,제약단지.하길리입구,126.9154167,37.0904
GGB233002791,상신1리종점,126.8904833,37.1047333
GGB233002792,요당3리,126.91495,37.0715333
GGB233002794,하길1리종점,126.92325,37.0969333
GGB233002795,하길리입구,126.9235667,37.1055667
GGB233002796,하길리입구,126.9237333,37.1055667
GGB233002797,구문천2리종점,126.90675,37.07635
GGB233002804,금당2리,126.7468,37.1895167
GGB233002805,금당2리,126.7467833,37.1895833
GGB233002806,금당공단앞,126.75025,37.1894333
GGB233002807,금당공단앞,126.7503667,37.1894833
GGB233002808,청원교회,126.7571167,37.1888833
GGB233002809,청원교회,126.7583333,37.18895
GGB233002810,슬항1리.절골,126.7640667,37.1935
GGB233002811,슬항1리.절골,126.7642167,37.1935333
GGB233002812,세종슈퍼앞,126.7618333,37.1891833
GGB233002813,세종슈퍼앞,126.76195,37.1892
GGB233002814,청원1리마을회관,126.7591667,37.18595
GGB233002815,청원1리마을회관,126.75925,37.186
GGB233002816,마도소방서,126.7730833,37.20675
GGB233002817,신남3통,126.7978,37.1763333
GGB233002818,신남3통,126.7979167,37.1763333
GGB233002819,신남2통,126.79955,37.1836
GGB233002820,신남2통,126.79965,37.1834833
GGB233002821,신남3통마을회관,126.8012167,37.1731833
GGB233002822,장덕1리.잡재기,126.80695,37.1628833
GGB233002823,갈담,126.9363,37.1761167
GGB233002824,신남4리.외만리,126.81905,37.18255
GGB233002825,신남3통.돌문안,126.8062333,37.17475
GGB233002826,기산,126.9371,37.1768333
GGB233002827,신남3통.돌문안,126.8063167,37.1746833
GGB233002828,안석2리동녘회관,126.8185333,37.1772
GGB233002829,안석2리마을회관,126.8225333,37.1710833
GGB233002830,안석1리,126.8251667,37.1701333
GGB233002831,안석1리마을회관,126.8274,37.1723
GGB233002832,활초삼거리,126.8294333,37.1786167
GGB233002833,활초교회,126.8397,37.1778167
GGB233002834,활초리마을회관,126.8340667,37.1763667
GGB233002835,활초리마을회관,126.8343167,37.1762833
GGB233002836,온석2리,126.8468833,37.1705333
GGB233002837,온석2리,126.8470667,37.1705833
GGB233002838,살곶이,126.8347167,37.1679
GGB233002839,노하산업단지,126.8473167,37.1551333
GGB233002840,노하산업단지,126.8472,37.15515
GGB233002841,노하할인마트,126.8491667,37.1578
GGB233002842,노하할인마트,126.8490167,37.1578167
GGB233002843,현대연구소입구,126.8462167,37.1624667
GGB233002844,현대연구소입구,126.8452333,37.16295
GGB233002845,기천1리,126.9091667,37.1775
GGB233002846,선일화학.에디스,126.8869833,37.0999667
GGB233002847,기천1리,126.9092167,37.1774333
GGB233002848,주유소앞,126.8495833,37.1660333
GGB233002849,주유소앞,126.8500333,37.1663333
GGB233002850,온석1동,126.8626833,37.1747333
GGB233002851,사창2리.주석골,126.9647667,37.10575
GGB233002853,벧엘기도원,126.80535,37.1597667
GGB233002854,장덕1리.잡재기,126.8069833,37.16275
GGB233002855,장덕리,126.8030167,37.1583
GGB233002856,장덕리,126.8030167,37.1582167
GGB233002857,마도소방서,126.7732833,37.20665
GGB233002858,벧엘기도원,126.8054667,37.1597667
GGB233002859,현대수산,126.8037333,37.1547333
GGB233002860,현대수산,126.8040333,37.15465
GGB233002861,장덕동수라청,126.7982333,37.1555667
GGB233002862,장덕동수라청,126.7983167,37.1555333
GGB233002863,석포6리(마파지),126.8164333,37.1431833
GGB233002864,사창2리.주석골,126.9648333,37.1057667
GGB233002865,주곡1리.박우물,126.81205,37.1340833
GGB233002866,주곡리,126.8155333,37.1277833
GGB233002868,매바위,126.7952833,37.1538833
GGB233002869,구장산업단지,126.9054333,37.1700667
GGB233002870,마곡산업단지,126.9052,37.1699833
GGB233002871,해문1리,126.7446667,37.2036
GGB233002872,해문1리,126.7444833,37.2037167
GGB233002873,해문1리.질고개,126.7406333,37.2051
GGB233002874,삼존2리마을회관,126.75225,37.2158833
GGB233002875,사강종점,126.7375667,37.2140333
GGB233002876,사강종점,126.7377333,37.2140833
GGB233002877,사강3리.양짓말,126.71815,37.2227833
GGB233002878,사강3리.양짓말,126.7181333,37.2229167
GGB233002879,인애농원앞,126.7152333,37.2248167
GGB233002880,인애농원앞,126.7151167,37.225
GGB233002881,각골입구,126.7098167,37.2276333
GGB233000441,화당리,126.8652167,37.1216667
GGB233000442,해창리,126.878,37.1124333
GGB233000443,서근리,126.8575,37.12615
GGB233000444,서근리,126.85235,37.12745
GGB233000445,석포삼거리,126.8436167,37.1307167
GGB233000446,석포초등학교,126.8401167,37.1300167
GGB233000447,석포2리,126.8375167,37.1291167
GGB233000448,석포2리,126.8351333,37.1264
GGB233000449,석포3리,126.83185,37.12125
GGB233000450,금의3리,126.8278,37.11715
GGB233000451,주곡1리,126.8195333,37.1163167
GGB233000452,화수사거리,126.8020667,37.1097667
GGB233000453,만세길방문자센터.화수2리,126.7997,37.1090833
GGB233000454,원안3리,126.7910333,37.1004
GGB233000455,원안2리,126.7861833,37.1005667
GGB233000456,금의2리,126.81645,37.1166167
GGB233000457,주곡1리,126.8249833,37.11765
GGB233000458,금의3리,126.8277667,37.11735
GGB233000459,석포3리,126.8308833,37.1206167
GGB233000460,석포2리,126.8372167,37.1292667
GGB233000461,석포4리,126.8395833,37.13005
GGB233000462,화당리,126.8648333,37.1220167
GGB233000463,월문초등학교,126.8715167,37.1179
GGB233000464,월문온천,126.87755,37.1144333
GGB233000465,문학2리,126.96855,37.1587833
GGB233000466,노진리종점,126.8193,37.03425
GGB233000467,노진5리,126.8156,37.0419167
GGB233000468,이화2리앞,126.7976833,37.0422167
GGB233000469,이화3리입구,126.8002167,37.0404333
GGB233000470,애덕가정,126.8023667,37.03285
GGB233000471,슈마타운,126.8035167,37.0361
GGB233000473,석천1리포도원,126.7937833,37.0580333
GGB233000474,건농골교차로,126.8502667,37.2567167
GGB233000475,매향4리,126.7703,37.03945
GGB233000476,사곡1리,126.80925,37.0689
GGB233000477,기아생활관,126.7958833,37.0643
GGB233000478,석천2리입구,126.7812,37.0563333
GGB233000479,매향2리,126.7683333,37.0502833
GGB233000480,양지편,126.7653167,37.0484
GGB233000481,고온리종점,126.7486833,37.0370833
GGB233000482,매향,126.7515167,37.0403833
GGB233000484,모즐저수지입구,126.7058333,37.2009833
GGB233000485,기아생활관,126.7957667,37.06445
GGB233000486,장안여자중학교,126.8154333,37.0786
GGB233000487,사곡사거리,126.81535,37.0749167
GGB233000488,사곡5리,126.8162333,37.0682333
GGB233000489,사곡2리,126.8154,37.0645333
GGB233000490,노진리,126.8145333,37.0534
GGB233000491,노진초등학교,126.8096333,37.0524667
GGB233000492,이화4리,126.806,37.0468
GGB233000493,노진4리,126.81435,37.0535333
GGB233000494,사곡2리,126.8152167,37.0645333
GGB233000495,사곡5리,126.816,37.0681167
GGB233000496,사곡사거리,126.8152167,37.0748333
GGB233000497,어은4리,126.8283667,37.0818
GGB233000498,장안면행정복지센터,126.8305667,37.0788167
GGB233000499,사랑리,126.83425,37.0734167
GGB233000500,덕다2리앞(구래),126.8377167,37.0694167
GGB233000501,덕다리입구,126.8393833,37.0668333
GGB233000502,독정1리,126.8459667,37.06685
GGB233000503,독정삼거리,126.8494667,37.0703
GGB233000504,독정2리,126.85365,37.0719167
GGB233000505,감드러지.독정3리,126.8569167,37.0774833
GGB233000506,독정3리.거묵골,126.8590833,37.07985
GGB233000507,독정4리,126.8609833,37.0819667
GGB233000508,용당골,126.8619,37.0887167
GGB233000509,꽃밭.식염온천,126.8618833,37.0929667
GGB233000510,꽃밭.식염온천,126.8619,37.0931
GGB233000511,독정4리,126.8610833,37.0818833
GGB233000512,독정3리,126.8591667,37.0798
GGB233000513,독정삼거리,126.8495,37.07015
GGB233000514,사랑리,126.834,37.0734333
GGB233000515,어은4리,126.8282,37.0817667
GGB233000516,팔탄면행정복지센터,126.9041833,37.1622667
